repeat,fold,target,arm,n,f1_macro,balanced_accuracy,cohen_kappa,quadratic_kappa,auroc_ovr_macro
3,1,sodium_sensitivity,tabnet,32025,0.3809298111507242,0.5088059250026666,0.16013168656038645,0.20432171067310256,0.7412915501901183
3,1,sodium_sensitivity,rules,32025,0.3615940601246601,0.44761160248078324,0.10800628439780768,0.17861142099375682,
3,1,potassium_sensitivity,tabnet,39240,0.42310395505821785,0.4861482648094269,0.18080634349511626,0.2554149675882872,0.7235187309424992
3,1,potassium_sensitivity,rules,39240,0.3875318622107397,0.4673259885286905,0.13284527717119154,0.22410611397880353,
3,1,protein_restriction,tabnet,39112,0.3815489923579036,0.48403522103649593,0.1421984294550822,0.06968336200428027,0.6763487182255142
3,1,protein_restriction,rules,39112,0.3216664338422328,0.3578919020741698,0.09154891529813491,0.14680335890839713,
3,1,carb_sensitivity,tabnet,39001,0.4926815004572858,0.5307579298503603,0.2994374614880635,0.42304416980517223,0.7731943653310478
3,1,carb_sensitivity,rules,39001,0.31818027289734335,0.4275066776394117,0.09018234108319911,0.17384626703355233,
3,2,sodium_sensitivity,tabnet,32098,0.3923249061892807,0.5109345267202432,0.17282334405469912,0.2296650232690286,0.7479753205422602
3,2,sodium_sensitivity,rules,32098,0.36926202919048906,0.4522205180261453,0.12157940760552777,0.19720211592437642,
3,2,potassium_sensitivity,tabnet,39213,0.4124496749307622,0.4758951006363643,0.16698220232312833,0.24658831489328592,0.7141302469971182
3,2,potassium_sensitivity,rules,39213,0.38351969005091124,0.4642239053188569,0.1303570250695275,0.2158935858387102,
3,2,protein_restriction,tabnet,39095,0.36297819454408947,0.48497648344253813,0.12910976516519024,0.05840545957686771,0.6755367057394079
3,2,protein_restriction,rules,39095,0.3175380253482333,0.35409783812707074,0.08963863533551186,0.14657541319339773,
3,2,carb_sensitivity,tabnet,38984,0.48602359129489314,0.5304880942108876,0.29336115461217993,0.4188732184995507,0.7726095204434137
3,2,carb_sensitivity,rules,38984,0.3161922571224047,0.42335682032641714,0.08591867688014332,0.16493753277990375,
3,3,sodium_sensitivity,tabnet,32667,0.3960305558998792,0.5291963106908594,0.1759065901966218,0.23881728193042495,0.7552605647595519
3,3,sodium_sensitivity,rules,32667,0.37839263409199325,0.46644158628486593,0.11738855289561223,0.19476707221690104,
3,3,potassium_sensitivity,tabnet,39911,0.41316469794771593,0.4751687174511634,0.17029516488876306,0.25103136446351304,0.7170662609062148
3,3,potassium_sensitivity,rules,39911,0.3853535479452055,0.4597394214171285,0.13224481049696357,0.22380387787099998,
3,3,protein_restriction,tabnet,39809,0.37958126885237276,0.48714356664024616,0.1434714008379706,0.06512787397189301,0.6767262853225265
3,3,protein_restriction,rules,39809,0.3190236491561452,0.35636649699254264,0.09281703161158594,0.15184138668731595,
3,3,carb_sensitivity,tabnet,39682,0.4898140300362089,0.5305111758908115,0.29916899161050103,0.4164703744899151,0.7708335715985077
